,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
0,0,39.1,18.7,181.0,3750.0
1,0,39.5,17.4,186.0,3800.0
2,0,40.3,18.0,195.0,3250.0
4,0,36.7,19.3,193.0,3450.0
5,0,39.3,20.6,190.0,3650.0
6,0,38.9,17.8,181.0,3625.0
7,0,39.2,19.6,195.0,4675.0
12,0,41.1,17.6,182.0,3200.0
13,0,38.6,21.2,191.0,3800.0
14,0,34.6,21.1,198.0,4400.0
15,0,36.6,17.8,185.0,3700.0
16,0,38.7,19.0,195.0,3450.0
17,0,42.5,20.7,197.0,4500.0
18,0,34.4,18.4,184.0,3325.0
19,0,46.0,21.5,194.0,4200.0
20,0,37.8,18.3,174.0,3400.0
21,0,37.7,18.7,180.0,3600.0
22,0,35.9,19.2,189.0,3800.0
23,0,38.2,18.1,185.0,3950.0
24,0,38.8,17.2,180.0,3800.0
25,0,35.3,18.9,187.0,3800.0
26,0,40.6,18.6,183.0,3550.0
27,0,40.5,17.9,187.0,3200.0
28,0,37.9,18.6,172.0,3150.0
29,0,40.5,18.9,180.0,3950.0
30,0,39.5,16.7,178.0,3250.0
31,0,37.2,18.1,178.0,3900.0
32,0,39.5,17.8,188.0,3300.0
33,0,40.9,18.9,184.0,3900.0
34,0,36.4,17.0,195.0,3325.0
35,0,39.2,21.1,196.0,4150.0
36,0,38.8,20.0,190.0,3950.0
37,0,42.2,18.5,180.0,3550.0
38,0,37.6,19.3,181.0,3300.0
39,0,39.8,19.1,184.0,4650.0
40,0,36.5,18.0,182.0,3150.0
41,0,40.8,18.4,195.0,3900.0
42,0,36.0,18.5,186.0,3100.0
43,0,44.1,19.7,196.0,4400.0
44,0,37.0,16.9,185.0,3000.0
45,0,39.6,18.8,190.0,4600.0
46,0,41.1,19.0,182.0,3425.0
48,0,36.0,17.9,190.0,3450.0
49,0,42.3,21.2,191.0,4150.0
50,0,39.6,17.7,186.0,3500.0
51,0,40.1,18.9,188.0,4300.0
52,0,35.0,17.9,190.0,3450.0
53,0,42.0,19.5,200.0,4050.0
54,0,34.5,18.1,187.0,2900.0
55,0,41.4,18.6,191.0,3700.0
56,0,39.0,17.5,186.0,3550.0
57,0,40.6,18.8,193.0,3800.0
58,0,36.5,16.6,181.0,2850.0
59,0,37.6,19.1,194.0,3750.0
60,0,35.7,16.9,185.0,3150.0
61,0,41.3,21.1,195.0,4400.0
62,0,37.6,17.0,185.0,3600.0
63,0,41.1,18.2,192.0,4050.0
64,0,36.4,17.1,184.0,2850.0
65,0,41.6,18.0,192.0,3950.0
66,0,35.5,16.2,195.0,3350.0
67,0,41.1,19.1,188.0,4100.0
68,0,35.9,16.6,190.0,3050.0
69,0,41.8,19.4,198.0,4450.0
70,0,33.5,19.0,190.0,3600.0
71,0,39.7,18.4,190.0,3900.0
72,0,39.6,17.2,196.0,3550.0
73,0,45.8,18.9,197.0,4150.0
74,0,35.5,17.5,190.0,3700.0
75,0,42.8,18.5,195.0,4250.0
76,0,40.9,16.8,191.0,3700.0
77,0,37.2,19.4,184.0,3900.0
78,0,36.2,16.1,187.0,3550.0
79,0,42.1,19.1,195.0,4000.0
80,0,34.6,17.2,189.0,3200.0
81,0,42.9,17.6,196.0,4700.0
82,0,36.7,18.8,187.0,3800.0
83,0,35.1,19.4,193.0,4200.0
84,0,37.3,17.8,191.0,3350.0
85,0,41.3,20.3,194.0,3550.0
86,0,36.3,19.5,190.0,3800.0
87,0,36.9,18.6,189.0,3500.0
88,0,38.3,19.2,189.0,3950.0
89,0,38.9,18.8,190.0,3600.0
90,0,35.7,18.0,202.0,3550.0
91,0,41.1,18.1,205.0,4300.0
92,0,34.0,17.1,185.0,3400.0
93,0,39.6,18.1,186.0,4450.0
94,0,36.2,17.3,187.0,3300.0
95,0,40.8,18.9,208.0,4300.0
96,0,38.1,18.6,190.0,3700.0
97,0,40.3,18.5,196.0,4350.0
98,0,33.1,16.1,178.0,2900.0
99,0,43.2,18.5,192.0,4100.0
100,0,35.0,17.9,192.0,3725.0
101,0,41.0,20.0,203.0,4725.0
102,0,37.7,16.0,183.0,3075.0
103,0,37.8,20.0,190.0,4250.0
104,0,37.9,18.6,193.0,2925.0
105,0,39.7,18.9,184.0,3550.0
106,0,38.6,17.2,199.0,3750.0
107,0,38.2,20.0,190.0,3900.0
108,0,38.1,17.0,181.0,3175.0
109,0,43.2,19.0,197.0,4775.0
110,0,38.1,16.5,198.0,3825.0
111,0,45.6,20.3,191.0,4600.0
112,0,39.7,17.7,193.0,3200.0
113,0,42.2,19.5,197.0,4275.0
114,0,39.6,20.7,191.0,3900.0
115,0,42.7,18.3,196.0,4075.0
116,0,38.6,17.0,188.0,2900.0
117,0,37.3,20.5,199.0,3775.0
118,0,35.7,17.0,189.0,3350.0
119,0,41.1,18.6,189.0,3325.0
120,0,36.2,17.2,187.0,3150.0
121,0,37.7,19.8,198.0,3500.0
122,0,40.2,17.0,176.0,3450.0
123,0,41.4,18.5,202.0,3875.0
124,0,35.2,15.9,186.0,3050.0
125,0,40.6,19.0,199.0,4000.0
126,0,38.8,17.6,191.0,3275.0
127,0,41.5,18.3,195.0,4300.0
128,0,39.0,17.1,191.0,3050.0
129,0,44.1,18.0,210.0,4000.0
130,0,38.5,17.9,190.0,3325.0
131,0,43.1,19.2,197.0,3500.0
132,0,36.8,18.5,193.0,3500.0
133,0,37.5,18.5,199.0,4475.0
134,0,38.1,17.6,187.0,3425.0
135,0,41.1,17.5,190.0,3900.0
136,0,35.6,17.5,191.0,3175.0
137,0,40.2,20.1,200.0,3975.0
138,0,37.0,16.5,185.0,3400.0
139,0,39.7,17.9,193.0,4250.0
140,0,40.2,17.1,193.0,3400.0
141,0,40.6,17.2,187.0,3475.0
142,0,32.1,15.5,188.0,3050.0
143,0,40.7,17.0,190.0,3725.0
144,0,37.3,16.8,192.0,3000.0
145,0,39.0,18.7,185.0,3650.0
146,0,39.2,18.6,190.0,4250.0
147,0,36.6,18.4,184.0,3475.0
148,0,36.0,17.8,195.0,3450.0
149,0,37.8,18.1,193.0,3750.0
150,0,36.0,17.1,187.0,3700.0
151,0,41.5,18.5,201.0,4000.0
152,2,46.1,13.2,211.0,4500.0
153,2,50.0,16.3,230.0,5700.0
154,2,48.7,14.1,210.0,4450.0
155,2,50.0,15.2,218.0,5700.0
156,2,47.6,14.5,215.0,5400.0
157,2,46.5,13.5,210.0,4550.0
